IBGE,MUNICIPIO,UF,PERIODO,UNIDADE,VALOR,LIRAa,LIA,ARMAD,TP_ARMAD, IIP_AE , IB_AE , ESTR_IIP_ME09 , PERC_IIP_ME09 , ESTR_IIP_MAI1MEI39 , PERC_IIP_MAI1MEI39 , ESTR_IIP_MAI4 , PERC_IIP_MAI4 , A1_VAL , A1_PERC , A2_VAL , A2_PERC , B_VAL , B_PERC , C_VAL , C_PERC , D1_VAL , D1_PERC , D2_VAL , D2_PERC , E_VAL , E_PERC , IIP_AA , IB_AA , dep_agua_val , dep_agua_perc ,dep_dom_val,dep_dom_perc,lixo_val,lixo_perc
130010,Anori,AM,13 a 17 de janeiro,TRIMESTRE,1,1,2,2,lira,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130040,Barcelos,AM,14 A 16 DE JANEIRO 2020,TRIMESTRE,1,1,2,2,lira,0.20,0.30,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,80.00,0.00,0.00,0.70,0.90,1.00,20.00,0.00,0.00,4.00,80.00
130060,Benjamin Constant,AM,13 a 17 de janeiro 2020,TRIMESTRE,1,1,2,2,lira,0.60,0.60,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.50,0.00,0.00,2.00,25.00,5.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.50,7.00,87.50
130068,Boa Vista do Ramos,AM,06.01.2020 a 10.01.2020,TRIMESTRE,1,1,2,2,lira,0.50,1.00,4.00,80.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,37.50,0.00,0.00,5.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,37.50,5.00,62.50
130070,Boca do Acre,AM,13/01/2020 a 17/01/2020,TRIMESTRE,1,1,2,2,lira,1.30,1.60,1.00,25.00,3.00,75.00,0.00,0.00,0.00,0.00,5.00,17.20,9.00,31.00,0.00,0.00,9.00,31.00,6.00,20.70,0.00,0.00,0.00,0.00,5.00,17.20,9.00,31.00,15.00,51.70
130140,Eirunepe,AM,13/01/2020 a 16/01/2020,TRIMESTRE,1,1,2,2,lira,0.90,0.90,2.00,66.67,1.00,33.33,0.00,0.00,0.00,0.00,3.00,37.50,2.00,25.00,1.00,12.50,1.00,12.50,1.00,12.50,0.00,0.00,0.00,0.00,3.00,37.50,3.00,37.50,2.00,25.00
130165,Guajara,AM,13 A 16 DE JANEIRO,TRIMESTRE,1,1,2,2,lira,1.30,1.30,1.00,33.33,2.00,66.67,0.00,0.00,0.00,0.00,6.00,75.00,1.00,12.50,0.00,0.00,0.00,0.00,1.00,12.50,0.00,0.00,0.00,0.00,6.00,75.00,1.00,12.50,1.00,12.50
130185,Iranduba,AM,22 a 24/Janeiro - 2020,TRIMESTRE,1,1,2,2,lira,1.70,1.70,4.00,57.14,2.00,28.57,1.00,14.29,0.00,0.00,22.00,78.60,1.00,3.60,0.00,0.00,3.00,10.70,2.00,7.10,0.00,0.00,0.80,0.80,22.00,78.60,1.00,3.60,5.00,17.80
130240,Labrea,AM,13/01/2020 a 17/01/2020,TRIMESTRE,1,1,2,2,lira,6.00,6.50,0.00,0.00,1.00,20.00,4.00,80.00,0.00,0.00,7.00,9.70,20.00,27.80,1.00,1.40,13.00,18.10,27.00,37.50,4.00,5.60,0.00,0.00,7.00,9.70,25.00,34.80,40.00,55.60
130130,Codajas,AM,13/01 a 17/01/2020,TRIMESTRE,1,1,2,2,lira,0.00,0.00,3.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
