estado,municipio,bairros,ano,periodo,levantamento,timestamp,mosquito,longitude,latitude,zona,variable,value
AMAZONAS,MANAUS,ADRIANOPOLIS,2016,agosto,2,1/8/2016,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,0.0
AMAZONAS,MANAUS,ADRIANOPOLIS,2017,outubro,2,1/10/2017,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,3.2
AMAZONAS,MANAUS,ADRIANOPOLIS,2017,fevereiro,1,1/2/2017,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,0.78
AMAZONAS,MANAUS,ADRIANOPOLIS,2018,outubro,2,1/10/2018,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,1.56
AMAZONAS,MANAUS,ADRIANOPOLIS,2018,janeiro,1,1/1/2018,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,1.56
AMAZONAS,MANAUS,ADRIANOPOLIS,2019,fevereiro,1,1/2/2019,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,7.69
AMAZONAS,MANAUS,ADRIANOPOLIS,2019,novembro,2,1/11/2019,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,8.18
AMAZONAS,MANAUS,ADRIANOPOLIS,2020,fevereiro,1,1/2/2020,Aegypti,-60.009747229813144,-3.1011804218756716,CENTRO-SUL,iip,2.84
AMAZONAS,MANAUS,ALEIXO,2016,agosto,2,1/8/2016,Aegypti,-59.9920569609456,-3.087156709041906,CENTRO-SUL,iip,0.98
AMAZONAS,MANAUS,ALEIXO,2017,outubro,2,1/10/2017,Aegypti,-59.9920569609456,-3.087156709041906,CENTRO-SUL,iip,1.91
AMAZONAS,MANAUS,ALEIXO,2017,fevereiro,1,1/2/2017,Aegypti,-59.9920569609456,-3.087156709041906,CENTRO-SUL,iip,1.1
AMAZONAS,MANAUS,ALEIXO,2018,outubro,2,1/10/2018,Aegypti,-59.9920569609456,-3.087156709041906,CENTRO-SUL,iip,0.29
AMAZONAS,MANAUS,ALEIXO,2018,janeiro,1,1/1/2018,Aegypti,-59.9920569609456,-3.087156709041906,CENTRO-SUL,iip,0.29
AMAZONAS,MANAUS,ALEIXO,2019,fevereiro,1,1/2/2019,Aegypti,-59.9920569609456,-3.087156709041906,CENTRO-SUL,iip,1.85
